app_name,base_name,category,confidence,website_guess,canton_page,on_chain,note
Nasdaq,nasdaq,Orderbook/CLOB,60,https://nasdaq.com,https://www.canton.network/ecosystem/nasdaq,no,
Particula,particula,Data/Analytics,60,https://particula.io,https://www.canton.network/ecosystem/particula,no,
Société Générale,socitgnrale,Tokenized Assets,60,https://societegenerale.com,https://www.canton.network/ecosystem/société-générale,no,
Temple Digital Group,templedigitalgroup,Tokenized Assets,60,https://templedigitalgroup.com,https://www.canton.network/ecosystem/temple-digital-group,no,
Texture Capital,texturecapital,Tokenized Assets,60,https://texturecapital.com,https://www.canton.network/ecosystem/texture-capital,no,
Trakx,trakx,Tokenized Assets,60,https://trakx.io,https://www.canton.network/ecosystem/trakx,no,
Ubyx,ubyx,Payments,60,,https://www.canton.network/ecosystem/ubyx,yes,Super Validator; Foundation Member
Cantex,cantex,Unknown,55,https://cantex.io,,yes,"220 recent txns; On-chain only, not in ecosystem page"
Cantex-validator-1,cantex,Unknown,55,https://cantex.io,,yes,"19 recent txns; On-chain only, not in ecosystem page"
7Ridge,7ridge,Developer Tools,50,,https://www.canton.network/ecosystem/7ridge,no,Super Validator; Foundation Member
ACME,acme,Data/Analytics,50,,https://www.canton.network/ecosystem/acme,no,
Chain Experts,chainexperts,Developer Tools,50,,https://www.canton.network/ecosystem/chain-experts,no,
Fìutur,futur,Tokenized Assets,50,,https://www.canton.network/ecosystem/fìutur,no,
GS DAP®,gsdap,Tokenized Assets,50,https://www.gsam.com,https://www.canton.network/ecosystem/gs-dap,no,
Kairo,kairo,Developer Tools,50,,https://www.canton.network/ecosystem/kairo,no,
Taurus,taurus,Wallet,50,,https://www.canton.network/ecosystem/taurus,no,Super Validator; Foundation Member
The Tie,thetie,Data/Analytics,50,,https://www.canton.network/ecosystem/the-tie,no,Super Validator; Foundation Member
Trade.Fast,tradefast,DEX/AMM,50,,https://www.canton.network/ecosystem/trade-fast,no,
TRM Labs,trmlabs,Identity/Auth,50,,https://www.canton.network/ecosystem/trm-labs,no,Super Validator; Foundation Member
Zoro Wallet,zorowallet,Wallet,50,,https://www.canton.network/ecosystem/zoro-wallet,no,
auxilary-1,auxilary,Unknown,45,,,yes,"27 recent txns; On-chain only, not in ecosystem page"
CantonSwap,cantonswap,DEX/AMM,45,,,yes,"42 recent txns; On-chain only, not in ecosystem page"
charity,charity,Unknown,45,,,yes,"74 recent txns; On-chain only, not in ecosystem page"
Hecto-Finance-1,hecto-finance,Lending/Finance,45,,,yes,"24 recent txns; On-chain only, not in ecosystem page"
mandalo,mandalo,Unknown,45,,,yes,"18 recent txns; On-chain only, not in ecosystem page"
openvector-mainnet-1,openvector,Unknown,45,,,yes,"46 recent txns; On-chain only, not in ecosystem page"
party-28dc4516-b5ca-44ff-86c7-2107e90a6807,party-28dc4516-b5ca-44ff-86c7,Unknown,45,,,yes,"22 recent txns; On-chain only, not in ecosystem page"
pool-custodian,pool-custodian,DEX/AMM,45,,,yes,"18 recent txns; On-chain only, not in ecosystem page"
supa1,supa1,Unknown,45,,,yes,"63 recent txns; On-chain only, not in ecosystem page"
